audio_file,a_value,v_value,Gender,split_set
MSP-PODCAST_0001_0008.wav,2.2,4.0,Male,Test
MSP-PODCAST_0001_0009.wav,4.0,3.5,Male,Test
MSP-PODCAST_0001_0011.wav,4.176471,4.823529,Male,Test
MSP-PODCAST_0001_0013.wav,3.0,3.75,Male,Test
MSP-PODCAST_0001_0016.wav,2.4,4.2,Male,Test
MSP-PODCAST_0001_0019.wav,3.6,4.8,Male,Test
MSP-PODCAST_0001_0020.wav,4.6,4.8,Male,Test
MSP-PODCAST_0001_0024.wav,2.0,3.0,Male,Test
MSP-PODCAST_0001_0025.wav,2.4,5.8,Male,Test
MSP-PODCAST_0001_0027.wav,3.6,3.8,Male,Test
MSP-PODCAST_0001_0030.wav,2.0,4.4,Male,Test
MSP-PODCAST_0001_0036.wav,2.0,3.6,Male,Test
MSP-PODCAST_0001_0041.wav,3.0,4.2,Male,Test
MSP-PODCAST_0001_0043.wav,5.0,3.2,Male,Test
MSP-PODCAST_0001_0048.wav,2.6,4.4,Male,Test
MSP-PODCAST_0001_0049.wav,4.2,4.0,Unknown,Train
MSP-PODCAST_0001_0050.wav,3.4,5.0,Male,Test
MSP-PODCAST_0001_0053.wav,4.166667,4.333333,Male,Test
MSP-PODCAST_0001_0055.wav,3.0,4.6,Male,Test
MSP-PODCAST_0001_0056.wav,3.166667,4.5,Male,Test
MSP-PODCAST_0001_0058.wav,2.833333,4.0,Male,Test
MSP-PODCAST_0001_0060.wav,4.2,4.6,Male,Test
MSP-PODCAST_0001_0061.wav,2.6,4.2,Male,Test
MSP-PODCAST_0001_0062.wav,4.0,5.6,Male,Test
MSP-PODCAST_0001_0063.wav,3.6,4.2,Male,Test
MSP-PODCAST_0001_0065.wav,2.266667,4.0,Male,Test
MSP-PODCAST_0001_0066.wav,3.833333,4.5,Unknown,Train
MSP-PODCAST_0001_0067.wav,3.666667,4.333333,Male,Test
MSP-PODCAST_0001_0068.wav,4.0,5.4,Male,Test
MSP-PODCAST_0001_0069.wav,3.0,3.7,Male,Test
MSP-PODCAST_0001_0071.wav,2.8,4.2,Male,Test
MSP-PODCAST_0001_0072.wav,3.0,4.4,Male,Test
MSP-PODCAST_0001_0073.wav,3.526316,3.315789,Male,Test
MSP-PODCAST_0001_0074.wav,3.4,3.4,Male,Test
MSP-PODCAST_0001_0077.wav,2.8,4.0,Male,Test
MSP-PODCAST_0001_0078.wav,3.2,4.8,Male,Test
MSP-PODCAST_0001_0079.wav,3.8,6.0,Male,Test
MSP-PODCAST_0001_0081.wav,3.266667,3.466667,Male,Test
MSP-PODCAST_0001_0083.wav,4.421053,4.157895,Male,Test
MSP-PODCAST_0001_0084.wav,3.2,4.0,Male,Test
MSP-PODCAST_0001_0085.wav,3.4,4.8,Male,Test
MSP-PODCAST_0001_0086.wav,4.333333,4.333333,Male,Test
MSP-PODCAST_0001_0087.wav,4.0,3.333333,Unknown,Train
MSP-PODCAST_0001_0088.wav,4.8,5.8,Male,Test
MSP-PODCAST_0001_0091.wav,3.8,4.2,Male,Test
MSP-PODCAST_0001_0092.wav,3.4,5.6,Male,Test
MSP-PODCAST_0001_0093.wav,2.352941,3.588235,Male,Test
MSP-PODCAST_0001_0094.wav,3.2,3.2,Male,Test
MSP-PODCAST_0001_0095.wav,3.2,4.6,Male,Test
MSP-PODCAST_0001_0096.wav,4.166667,4.0,Male,Test
MSP-PODCAST_0001_0098.wav,4.6,3.6,Male,Test
MSP-PODCAST_0001_0100.wav,2.6,3.6,Male,Test
MSP-PODCAST_0001_0101.wav,4.0,4.4,Male,Test
MSP-PODCAST_0001_0103.wav,4.1,4.4,Male,Test
MSP-PODCAST_0001_0105.wav,3.0,4.2,Male,Test
MSP-PODCAST_0001_0106.wav,3.8,5.0,Male,Test
MSP-PODCAST_0001_0109.wav,2.4,4.4,Male,Test
MSP-PODCAST_0001_0110.wav,1.944444,3.666667,Male,Test
MSP-PODCAST_0001_0111.wav,1.8,3.8,Male,Test
MSP-PODCAST_0001_0114.wav,2.210526,4.052632,Male,Test
MSP-PODCAST_0001_0121.wav,2.6,4.0,Male,Test
MSP-PODCAST_0001_0122.wav,3.666667,4.0,Male,Test
MSP-PODCAST_0001_0123.wav,3.111111,4.277778,Male,Test
MSP-PODCAST_0001_0124.wav,4.2,4.6,Male,Test
MSP-PODCAST_0001_0126.wav,4.0,3.8,Male,Test
MSP-PODCAST_0001_0128.wav,4.0,5.6,Male,Test
MSP-PODCAST_0001_0131.wav,4.352941,5.176471,Male,Test
MSP-PODCAST_0001_0132.wav,2.277778,3.833333,Male,Test
MSP-PODCAST_0001_0133.wav,3.8,4.4,Male,Test
MSP-PODCAST_0001_0134.wav,3.0,3.833333,Male,Test
MSP-PODCAST_0001_0135.wav,3.2,4.0,Male,Test
MSP-PODCAST_0001_0136.wav,4.8,5.2,Male,Test
MSP-PODCAST_0001_0139.wav,2.4,4.0,Male,Test
MSP-PODCAST_0001_0142.wav,2.529412,3.470588,Male,Test
MSP-PODCAST_0001_0143.wav,4.285714,2.285714,Male,Test
MSP-PODCAST_0001_0145.wav,3.2,2.4,Male,Test
